"Year","Energy Industries","Residential","Manufacturing Combustion","Commercial Services","Public Services","Transport","Industrial Processes","Agriculture","Waste"
1990,11145.01,7049.62,4055.45,1004.43,1116.84,5029.63,2249.67,1198.94,95.59
1991,11604.44,7167.74,4140.33,1022.43,1091.39,5207.47,2151.14,1194.41,95.7
1992,12263.69,6450.42,3817.43,1016.39,998.43,5621.83,2062.48,1168.95,96.41
1993,12282.24,6459.26,4023.43,1003.82,972.42,5583.61,2027.6,1267.53,97.15
1994,12618.23,6441.08,4257.15,1094.25,980.31,5805.74,2265.73,1278.68,97.74
1995,13301.43,6308.89,4272.55,1072.66,912.69,6058.86,2179.24,1648.85,98.16
1996,14016.87,6643.62,4140.49,968.69,874.86,7027.28,2261.05,1438.41,98.19
1997,14674.05,6442.31,4479.01,976.35,830.05,7347.91,2590.06,1382.87,82.53
1998,15057.17,6999.12,4458.9,962.94,782.08,8620.64,2479.09,1283.76,64.74
1999,15751.39,6828.42,4623.33,995.7,811.52,9533.5,2429.12,1395.49,71.99
2000,16028.43,6930.69,5402.77,1021.1,859.35,10561.82,2976.43,1392.48,76.75
2001,17295.09,7297.84,5368.25,1011.67,828.9,11079.03,3227.3,1414.61,85.3
2002,16314.68,7317.98,5033.61,978.24,773.22,11279.12,2989.08,1287.44,108.26
2003,15611.03,7564.55,5149.71,1076.02,733.95,11489.06,2462.65,1444.03,153.18
2004,15234.59,7719.77,5224.52,1044.67,685.76,12209.41,2633.27,1270.82,143.64
2005,15719.06,8166.87,5397.5,1077.43,682.37,12922.21,2728.17,1332.82,128.5
2006,14959.2,8035.12,5197.83,1072.32,658.67,13606.09,2673.23,1273.94,126.04
2007,14458.95,7870.73,5293.02,1069.45,623.09,14203.63,2725.92,1331.62,83.07
2008,14555.22,8660.75,5102.82,1114.49,627.81,13517.89,2433.35,1280.54,68.01
2009,12972.1,8486.37,4095.64,883.66,526.39,12312.69,1616.07,1212.21,69.48
2010,13228.01,8750.93,4105.14,984.06,546.53,11407.78,1426.61,1282.53,61.02
2011,11844.58,7528.79,3709.3,909.08,477.2,11101.34,1296.28,1145.83,43.82
2012,12683.42,7046.44,3787.66,957.79,496.28,10717.19,1524.62,966.58,47.6
2013,11331.22,6842.86,3974.4,954.08,577.33,10938.33,1440.26,1178.83,44.56
2014,11126.26,6060.12,4195.33,854.41,572.4,11217.1,1783.85,1001.98,41.12
2015,11737.91,6489.45,4227.63,966.1,599.66,11689.6,1970.26,995.22,41.85
2016,12443.94,6770.7,4307.27,860.14,624.36,12165.17,2111.6,1060.53,24.65
2017,11671.55,6420.68,4451.78,795.86,629.65,11887.66,2198.75,993.21,27.04
2018,10402.07,6902.94,4668.83,867.85,659.39,12059.08,2253.24,1171.94,23.49
2019,9199.93,6651.27,4558.84,837.39,687.61,12064.77,2225.62,1065.87,31.97
2020,8513.21,7250.08,4631.26,678.83,636.56,10185.76,2067.44,1128.42,30.76
2021,10064.29,6818.97,4594.66,758.86,664.79,10853.67,2435.44,1321.7,34.26
2022,9872.54,5967.52,4269.5,760.16,651.29,11503.09,2248.77,1400.57,32.64